TIME_PERIOD,PROVIDED_ID,SYMMETRIC_ID,DELTA
2013-Q3,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,8866.696899662522
2013-Q4,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,8875.099521405626
2014-Q1,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,9036.292579274274
2014-Q2,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,8809.512143611404
2014-Q3,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,8779.85966633955
2014-Q4,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,5953.732044920344
2015-Q1,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,5603.362328319163
2015-Q2,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,5560.30642018223
2015-Q3,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,5286.366341814376
2015-Q4,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,4986.442524221
2016-Q1,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,4639.069829247226
2016-Q2,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,4652.070150502783
2016-Q3,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,4587.069396437118
2016-Q4,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,3870.0740373295234
2017-Q1,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,3734.9256697777478
2017-Q2,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,3643.920421575375
2017-Q3,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,3417.7991994663107
2017-Q4,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,3344.7903225806454
2018-Q1,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,3370.6545214805647
2018-Q2,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,3329.646087191985
2018-Q3,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,3129.5204314959783
2018-Q4,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2918.5160202360876
2019-Q1,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2775.25123086443
2019-Q2,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2968.7018641936925
2019-Q3,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2924.8410470921604
2019-Q4,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2755.7149001949056
2020-Q1,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2732.1807750311455
2020-Q2,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2743.603159507582
2020-Q3,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2706.721498048038
2020-Q4,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2547.3516598471906
2021-Q1,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2597.358166567598
2021-Q2,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2575.196748227944
2021-Q3,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2495.0623188986365
2021-Q4,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2316.2785672467935
2022-Q1,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2332.69923422234
2022-Q2,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2423.165402950589
2022-Q3,Q.HR.N.A.A20.A.1.AT.2000.Z01.E,Q.AT.N.A.A20.A.1.HR.2000.Z01.E,2330.4242424242425
